wl,n,k
0.1187,1.645,1.136
0.1192,1.772,1.13
0.1198,1.919,1.045
0.1204,2.048,0.925
0.121,2.152,0.81
0.1215,2.24,0.715
0.1228,2.332,0.46
0.124,2.33,0.323
0.1252,2.292,0.236
0.1265,2.243,0.168
0.1278,2.19,0.119
0.1291,2.14,0.077
0.1305,2.092,0.0561
0.1319,2.047,0.043
0.1333,2.006,0.0339
0.1348,1.969,0.0271
0.1362,1.935,0.0228
0.1378,1.904,0.0189
0.1393,1.876,0.0156
0.1409,1.85,0.0132
0.1425,1.825,0.0109
0.1442,1.803,0.00838
0.1459,1.783,0.00557
0.1476,1.764,0.00317
0.1494,1.747,0.0014
0.1512,1.73,0.000463
0.1531,1.716,0.000122
0.155,1.702,0.000032
0.159,1.676,0.0000047
0.1631,1.653,0
0.1675,1.633,0
0.1722,1.616,0
0.1771,1.6,0
0.1837,1.582,0
0.1907,1.567,0
0.1984,1.554,0
0.2066,1.543,0
0.21,1.53835762,0
0.2174,1.530846431,0
0.2251,1.524078907,0
0.233,1.518041768,0
0.2412,1.512572116,0
0.2497,1.507609587,0
0.2585,1.503100963,0
0.2676,1.498999219,0
0.277,1.495262719,0
0.2868,1.491821503,0
0.2969,1.488683281,0
0.3074,1.485791437,0
0.3182,1.483150433,0
0.3294,1.480714442,0
0.341,1.478467652,0
0.353,1.47639513,0
0.3655,1.474468282,0
0.3783,1.47270468,0
0.3917,1.471052512,0
0.4055,1.46952865,0
0.4197,1.468121822,0
0.4345,1.46680482,0
0.4498,1.46558083,0
0.4657,1.464436031,0
0.4821,1.463371935,0
0.4991,1.462376439,0
0.5167,1.461444991,0
0.5349,1.460573079,0
0.5537,1.459756285,0
0.5732,1.458986561,0
0.5934,1.458260788,0
0.6143,1.457575807,0
0.636,1.456925601,0
0.6584,1.456310408,0
0.6816,1.455724699,0
0.7056,1.45516603,0
0.7305,1.454629875,0
0.7562,1.454116165,0
0.7829,1.453618854,0
0.8104,1.45313961,0
0.839,1.452671274,0
0.8686,1.452213821,0
0.8992,1.451765383,0
0.9308,1.451324079,0
0.9636,1.450885397,0
0.9976,1.450447736,0
1.033,1.450006962,0
1.069,1.44957109,0
1.107,1.449121462,0
1.146,1.448668311,0
1.186,1.448209659,0
1.228,1.447732246,0
1.271,1.447245577,0
1.316,1.446736352,0
1.362,1.446213852,0
1.41,1.445664578,0
1.46,1.445086147,0
1.512,1.444475988,0
1.565,1.443843402,0
1.62,1.443173929,0
1.677,1.442464576,0
